OBJECTID,Address,Place_Type,long,lat
13,1739 Mt Rushmore Dr,SF,-121.803499,37.349605
17,1739 Parkdale Way,SF,-121.81131,37.345887
21,1739 Quimby Rd,MH,-121.82118,37.328826
23,1739 Rigoletto Dr,SF,-121.821953,37.319305
36,1739 Sundown Ln,SF,-121.814786,37.343839
142,1740 Barberry Ln,SF,-121.81603,37.314083
172,1740 Home Gate Dr,SF,-121.818691,37.341076
193,1740 Quimby Rd,MH,-121.821094,37.328724
206,1740 Sundown Ln,SF,-121.814357,37.34401
230,1740 Woodridge Way,SF,-121.811524,37.345648
238,1741 Biscayne Way,SF,-121.836201,37.335173
256,1741 Foley Ave,SF,-121.839033,37.329201
267,1741 Home Gate Dr,SF,-121.818648,37.340701
275,1741 Leeward Dr,SF,-121.822511,37.340769
292,1741 Quimby Rd,MH,-121.820966,37.328621
319,1741 S Capitol Ave,SF,-121.819592,37.341895
338,1741 Terilyn Ave,SF,-121.839848,37.328894
343,1741 Vistaglen Dr,SF,-121.823069,37.340257
379,1742 Everglade Ave,SF,-121.838561,37.337254
383,1742 Florida Ave,SF,-121.836501,37.330976
391,1742 Home Gate Dr,SF,-121.818777,37.341008
394,1742 Karl St,SF,-121.827146,37.337903
403,1742 Mt Kenya Dr,SF,-121.799508,37.351584
410,1742 Orlando Dr,SF,-121.834355,37.332546
412,1742 Parkdale Way,SF,-121.810838,37.346125
414,1742 Quimby Rd,MH,-121.820837,37.328724
433,1742 Terilyn Ave,SF,-121.839376,37.329167
438,1742 Vistaglen Dr,SF,-121.822682,37.339916
455,1743 Cathay Dr,SF,-121.831265,37.335582
456,1743 Chaucer Dr,SF,-121.84487,37.343157
462,1743 Crucero Dr,MF,-121.843625,37.328007
470,1743 Florida Ave,SF,-121.83693,37.330703
475,1743 Home Gate Dr,SF,-121.818734,37.340666
485,1743 Orlando Dr,SF,-121.834827,37.332238
490,1743 Quimby Rd,MH,-121.820923,37.328826
515,1743 Sundown Ln,SF,-121.814614,37.343669
530,1744 Cathay Dr,SF,-121.83075,37.335787
532,1744 Cortez Ave,SF,-121.839291,37.337732
549,1744 Home Gate Dr,SF,-121.818863,37.340974
552,1744 June Ave,SF,-121.83693,37.330191
553,1744 Kyra Cir,SF,-121.81573,37.313468
556,1744 Leeward Dr,SF,-121.821996,37.340974
569,1744 Quimby Rd,MH,-121.821009,37.328928
584,1744 Sundown Ln,SF,-121.814185,37.343942
590,1744 Vistaglen Dr,SF,-121.822854,37.339813
595,1745 Adrian Way,SF,-121.826373,37.337596
622,1745 Everglade Ave,SF,-121.838819,37.337698
632,1745 Home Gate Dr,SF,-121.818863,37.340632
634,1745 June Ave,ED,-121.83899,37.330976
635,1745 Kyra Cir,SF,-121.81603,37.313741
675,1745 Parkdale Way,SF,-121.811224,37.345784
678,1745 Quimby Rd,MH,-121.821137,37.329065
696,1745 Story Rd,RT,-121.84311,37.34111
699,1745 Tampa Way,SF,-121.836201,37.331146
706,1745 Vistaglen Dr,SF,-121.82324,37.340155
712,1746 Barberry Ln,SF,-121.815945,37.314151
724,1746 Cortez Ave,SF,-121.839205,37.337766
741,1746 Home Gate Dr,SF,-121.818949,37.340939
760,1746 Midfield Ave,SF,-121.839977,37.328621
765,1746 Parkdale Way,SF,-121.810752,37.345989
766,1746 Quimby Rd,MH,-121.82088,37.32927
774,1746 S King Rd,SF,-121.835085,37.332068
777,1746 Vistaglen Dr,SF,-121.822983,37.339711
827,1747 Home Gate Dr,SF,-121.818949,37.340598
